Word,IDF
непременно,3.0
проводиться,1.387216
показывать,1.267606
хосе,2.045757
карл,1.920819
иск,1.508638
гордини,2.522879
пожертвовать,1.022276
линч,2.69897
отказываться,1.568636
включать,1.443697
бари,3.0
больной,1.537602
джоуи,3.0
отменять,1.318759
благодаря,1.468521
ральф,1.958607
зарегистрировать,1.055517
индианаполис,1.744727
сильверстоун,1.481486
нс,1.49485
реймс,2.30103
событие,1.022276
de,1.537602
старт,1.366532
мануэль,1.638272
соответственно,1.387216
манзона,2.39794
монте-карло,1.657577
учитываться,1.79588
август,1.207608
сент,2.39794
викидать,1.040959
deutsch,1.102373
товарный,1.055517
см,1.045757
indonesia,1.091515
вновь,1.481486
кроссли,2.69897
редж,2.522879
xie,3.0
роуз,2.522879
чемпион,1.251812
робер,2.30103
знак,1.045757
избранный,1.022276
монец,1.376751
дикий,2.221849
европейский,1.49485
команда,1.119186
ряд,1.443697
обозначение,1.376751
второй,1.154902
монако,1.251812
новый,1.004365
отдельный,1.031517
нкв,1.49485
располагаться,1.638272
наддув,1.744727
устанавливать,1.481486
шеффилд,3.0
jersey,3.0
отчет,1.420216
майк,1.585027
завал,2.69897
пьер,1.537602
срок,1.769551
монс,2.69897
левретт,2.69897
скачать,1.022276
франция,1.408935
fiat,2.69897
сходить,1.823909
держаться,2.30103
зандворт,2.045757
торн,2.69897
grand,1.366532
ачербо,3.0
грэгга,3.0
милт,3.0
ван,2.045757
джованни,2.522879
тед,2.522879
бельгия,1.420216
читвуд,3.0
нпр,1.522879
вслед,1.744727
стартовый,1.468521
виллорезь,2.30103
группа,1.455932
случай,1.040959
дистанция,1.443697
отсутствие,1.468521
хуан,1.49485
вне,1.29243
справка,1.022276
джерри,2.69897
билл,2.045757
переходить,1.017729
сей,1.657577
сэм,2.221849
соревнование,1.236572
год,1.026872
rac,2.522879
финальный,1.39794
гэмстон,3.0
топливный,1.769551
horschell,3.0
ита,1.431798
оставаться,1.337242
позволять,1.327902
текст,1.036212
включая,1.455932
феличе,2.39794
ратманн,2.69897
вклад,1.013228
talbot,1.886057
эйдер,3.0
следом,2.522879
фиа,1.366532
травмировать,1.537602
нтр,1.552842
филипп,2.154902
полный,1.337242
прекращать,2.0
чак,2.30103
раймон,3.0
свободный,1.031517
конец,1.267606
соммер,3.0
premio,2.154902
belge,2.522879
розье,2.30103
achille,3.0
tabac,3.0
жиро,2.522879
определять,1.443697
джерард,2.221849
motor,1.823909
франко,2.09691
шов,2.0
лейтон,3.0
monaco,2.09691
нация,2.30103
внезачетный,1.619789
женева,2.522879
педральбес,2.522879
код,1.013228
политика,1.008774
жорж,2.39794
jap,3.0
великобритания,1.221849
агабашьяну,3.0
связываться,1.022276
race,1.537602
ливень,3.0
рекорд,1.522879
конфиденциальность,1.017729
лицензия,1.036212
чета,2.69897
сезон,1.167491
creative,1.022276
просмотр,1.022276
гриньяр,2.522879
schweiz,2.69897
нкл,1.508638
прибывать,1.376751
url,1.004365
момент,1.346787
короткий,1.022276
нелло,2.69897
разработчик,1.022276
февраль,1.29243
аргентинец,1.769551
шелл,2.30103
джонсон,2.30103
цитировать,1.080922
пятеро,2.69897
меняться,1.638272
equipe,2.69897
хаузер,2.69897
hrvatski,1.187087
джо,2.39794
запись,1.017729
alfieri,2.69897
road,2.221849
preis,2.221849
клемент,3.0
enrico,1.853872
мэрвин,3.0
поул,1.236572
клэз,2.39794
борьба,1.455932
gp,1.508638
тт,1.552842
теоретический,2.522879
попадать,1.259637
simple,1.180456
кат,1.886057
граффенрида,2.30103
цветок,1.481486
лидировать,1.568636
мартен,2.522879
galego,1.130768
допускать,1.60206
сохранение,1.036212
scuderia,1.508638
расписание,2.09691
курсив,2.39794
пескара,2.154902
очко,1.481486
приезжать,1.958607
sva,3.0
мазерать,2.30103
либо,1.275724
мак,2.39794
викимедиа,1.026872
проект,1.017729
шаба,2.69897
пагани,3.0
пол,1.585027
иметь,1.267606
свежий,1.017729
элемент,1.013228
ролт,2.69897
инди,1.60206
руссо,2.30103
откатиться,2.39794
агабашьян,2.30103
дополнительный,1.036212
ромео,1.769551
сюда,1.017729
набирать,1.468521
lutetia,3.0
делиться,1.886057
полагаться,2.154902
монгол,1.366532
пойти,1.657577
ответственность,1.017729
зачет,1.229148
эл,2.221849
бремгартен,2.522879
постоянный,1.055517
шасси,1.283997
лидер,1.481486
гриффит,2.39794
таруффи,2.154902
троя,2.30103
мощность,1.49485
совместно,2.045757
фонд,1.05061
шоуи,2.522879
burau,3.0
бонетто,2.39794
морис,2.0
джек,1.455932
кубок,1.244125
энциклопедия,1.031517
джин,2.221849
полностью,1.522879
нпкв,1.552842
доступный,1.026872
english,1.026872
джим,1.585027
учетный,1.022276
данный,1.337242
хет-трик,2.09691
norsk,1.107905
большой,1.29243
дуглас,2.69897
indianapolis,2.522879
бьондетти,3.0
era,1.886057
комотти,3.0
спа,1.638272
тренировка,1.346787
ambrosiana,2.522879
чарльз,2.522879
очки,1.221849
mathieson,2.69897
пич,2.69897
дэвид,1.638272
независимый,1.638272
brm,1.79588
манни,2.69897
джимми,2.154902
corporation,2.69897
нижеследующий,1.552842
правило,1.21467
oldid,1.036212
билли,2.522879
уверенно,2.39794
стартовать,1.309804
фрэйзер,3.0
сохранять,1.638272
сайт,1.173925
свой,1.19382
флаерти,3.0
пратта,3.0
уокер,2.30103
четыре,1.455932
хороший,1.229148
дэвис,2.221849
сентябрь,1.221849
гонщик,1.173925
официальный,1.207608
джордж,1.60206
кодекс,1.013228
бранка,2.69897
бад,2.30103
jaguar,1.619789
джеки,1.568636
трое,1.721246
svenska,1.09691
поведение,1.013228
парсонс,2.30103
хеллингс,2.69897
отредактировать,1.055517
избегать,1.60206
итон,2.39794
предквалификация,1.408935
grosser,2.69897
досрочно,1.721246
назад,1.920819
foundation,1.05061
ссылка,1.022276
плата,2.30103
смог,1.823909
динсмор,2.522879
случайный,1.022276
напарник,1.60206
заглавный,1.022276
общий,1.318759
сан,1.657577
ги,2.522879
гонка,1.142668
седьмой,1.638272
international,1.537602
альфа,1.677781
trophy,1.69897
пэт,2.30103
доминировать,2.0
xix,2.39794
круг,1.187087
cooper,1.853872
дополнительно,1.481486
объем,1.443697
статья,1.022276
трофей,2.69897
кука,1.022276
некоммерческий,1.055517
эгида,2.39794
аскарь,2.0
kurtis,2.045757
нино,2.154902
фанкахаузер,3.0
луи,2.0
принимать,1.229148
фра,1.481486
эмил,3.0
июль,1.244125
участвовать,1.21467
исключать,1.318759
язык,1.017729
оспедалетти,3.0
андрес,3.0
richmond,3.0
мочь,1.013228
сша,1.173925
норма,1.69897
участник,1.102373
филиппис,1.886057
alfa,1.481486
беларуский,1.408935
джеймс,1.721246
генри,2.69897
июнь,1.267606
опережать,1.552842
inc,1.055517
завоевывать,1.431798
позиция,1.468521
собственный,1.39794
automobiles,2.522879
берч,3.0
бордони,3.0
мон,1.431798
линден,2.39794
кенни,2.69897
ольстер,2.69897
xii,2.522879
беттенхаузен,2.30103
каждый,1.229148
эжен,2.522879
хэнкс,2.39794
который,1.045757
belgiё,2.69897
пространство,1.017729
фондер,2.69897
википедия,1.022276
поле,1.49485
зона,1.522879
единственный,1.552842
клифф,2.221849
конструктор,1.229148
описание,1.017729
париж,1.69897
это,1.065502
альфредо,2.522879
майрон,2.69897
высокий,1.356547
ригсби,3.0
легенда,1.522879
править,1.022276
мэресс,2.39794
дата,1.107905
связанный,1.040959
jean,2.39794
соперничество,1.79588
mons,2.69897
авторство,1.040959
управлять,1.552842
начало,1.21467
айюло,2.69897
келли,2.39794
фаджоли,2.30103
фишер,2.522879
сменить,1.568636
хэмпшир,2.69897
читать,1.022276
выходить,1.376751
браун,1.958607
слабый,1.721246
италия,1.283997
romeo,1.481486
получать,1.013228
победитель,1.200659
выигрыш,2.69897
джефф,2.09691
поцци,3.0
авария,1.431798
данна,1.920819
технический,1.259637
партнер,1.568636
kraft,2.045757
монлери,3.0
таблица,1.318759
pdf,1.036212
лесли,2.69897
пиан,3.0
ролта,2.69897
wildsoft,1.387216
ив,2.522879
фрайя,2.154902
добираться,2.522879
ferrari,1.275724
сообщать,1.017729
simca,2.39794
bleue,3.0
разделять,1.638272
идти,1.366532
выигрывать,1.376751
навигация,1.022276
шарль,1.619789
сход,1.420216
федрикс,2.69897
обладатель,1.585027
шесть,1.638272
libro,2.69897
замена,1.568636
затем,1.443697
пора,1.387216
уступать,1.585027
берка,3.0
луиджи,2.045757
октябрь,1.221849
частник,2.39794
запас,1.721246
трасса,1.173925
статистический,1.769551
расшифровка,1.552842
имя,1.013228
насос,2.30103
выезжать,1.376751
маршалл,2.69897
пожилой,2.69897
занимать,1.346787
afrikaans,1.283997
прямой,1.677781
левег,2.69897
коннор,2.522879
euskara,1.236572
четвертый,1.721246
очередь,1.568636
шлем,1.886057
коул,3.0
также,1.107905
список,1.366532
время,1.154902
машина,1.229148
дорино,3.0
paul,2.522879
де,1.309804
источник,1.017729
автомобиль,1.21467
никто,1.721246
поворот,1.468521
служебный,1.017729
жоэл,2.69897
финишировать,1.318759
van,2.30103
заводской,1.958607
миль,1.958607
данкан,2.522879
мэйс,3.0
maserati,1.769551
роль,1.481486
система,1.013228
поровну,2.522879
участие,1.017729
принц,2.39794
espadon,2.69897
спайдер,2.69897
харрисон,2.69897
секунда,1.49485
материал,1.036212
дюк,2.522879
подробно,1.045757
хойт,2.69897
заявление,1.017729
предпочитать,1.958607
xk,3.0
денежный,2.30103
мобильный,1.017729
третий,1.251812
увеличивать,1.537602
марк,1.619789
уоллард,2.69897
racing,1.327902
вести,1.244125
дисквалифицировать,1.537602
создавать,1.013228
феррари,1.39794
приглашение,2.522879
нэлон,2.69897
андре,2.154902
рег,3.0
фолкнер,2.69897
зарабатывать,1.468521
картер,2.39794
происходить,1.366532
подиум,1.283997
финиш,1.408935
побивать,2.522879
копп,3.0
персональный,1.017729
смочь,1.49485
бейлис,2.69897
гонсалес,2.154902
пятый,1.823909
заявлять,1.443697
становиться,1.200659
пение,3.0
гудвуд,3.0
сесил,2.69897
первый,1.124939
брайан,1.823909
страница,1.017729
самый,1.283997
offenhauser,2.221849
присуждать,2.69897
международный,1.318759
the,1.318759
тоня,1.721246
передавать,1.619789
milano,2.0
питер,1.79588
заявка,1.721246
случаться,2.0
состоять,1.39794
история,1.017729
https,1.004365
классификация,1.387216
british,1.769551
хартли,2.045757
гонки,1.21467
туло,2.30103
санези,2.69897
iv,2.522879
polski,1.091515
italiano,1.080922
правка,1.022276
шиндлер,2.69897
bosanski,1.356547
русский,1.004365
результат,1.180456
семь,1.853872
совершать,1.585027
фред,2.30103
сай,3.0
varzi,3.0
отставать,1.657577
миллер,2.522879
проблема,1.366532
литр,1.638272
prijs,2.69897
несмотря,1.387216
оправдывать,2.522879
любой,1.443697
фройлан,2.154902
brossura,2.69897
title,1.036212
луво,2.69897
der,2.30103
фарина,1.638272
шанс,1.638272
версия,1.008774
организация,1.05061
commons,1.022276
asturianu,1.259637
массовый,1.853872
место,1.124939
апрель,1.251812
грин,2.522879
обзор,1.69897
входить,1.013228
хэл,3.0
grote,2.69897
среди,1.346787
проходить,1.130768
протокол,1.356547
макграт,2.69897
джузеппе,1.79588
легко,2.0
форберг,2.69897
iiird,2.69897
представлять,1.161151
установленный,1.568636
gran,2.154902
ошибка,1.017729
уэбб,3.0
очковый,1.721246
ход,1.337242
officine,2.69897
фанхио,1.60206
долго,1.769551
харри,2.30103
последний,1.045757
условие,1.036212
лунгомара,3.0
shqip,1.318759
симон,2.09691
тальбо,2.522879
холмс,2.69897
название,1.30103
альберто,1.958607
частный,1.79588
отказ,1.022276
лайт,3.0
альфетт,3.0
трентиньян,2.09691
доставаться,1.69897
регламент,1.337242
sweepstakes,2.69897
alta,1.920819
ii,1.721246
девора,3.0
макдауэлл,2.522879
телеграф,3.0
мауро,2.39794
уайтхед,2.522879
поддержка,1.552842
исключение,1.468521
гран-при,1.154902
wikipedia,1.05061
поиск,1.022276
руди,2.522879
двигатель,1.180456
gordini,1.958607
разочарованный,3.0
фр,1.356547
скрытый,1.161151
matra,1.853872
зифферт,2.39794
хилл,1.481486
юар,1.585027
ford,1.638272
регаццони,2.30103
германия,1.283997
хатчинсон,2.69897
хуберт,3.0
гетин,2.522879
австрия,1.431798
игнацио,3.0
раздел,1.455932
шина,1.283997
петер,2.0
дэйв,2.69897
пит,1.552842
ронни,2.09691
бельтуаз,2.39794
нида,1.744727
серво,2.522879
майлз,2.522879
подсчет,1.744727
солер,3.0
хокенхайм,2.39794
пирс,2.522879
север,2.30103
хан,3.0
кьял,2.09691
родригес,1.886057
фиттипальди,1.886057
помогать,1.60206
автогонки,1.455932
педро,1.886057
белл,2.30103
tyrrell,1.522879
брэндс,2.30103
канада,1.309804
dfv,1.677781
марио,1.920819
жаки,2.045757
галли,3.0
австриец,2.522879
кан,1.522879
алекс,2.045757
йо,2.154902
brabham,1.769551
исп,1.443697
lotus,1.468521
джон,1.443697
гера,1.568636
стюарт,1.585027
tomaso,2.09691
dansk,1.30103
герня,2.522879
бонниер,2.30103
рольф,2.69897
написать,1.920819
денни,1.721246
андреа,1.60206
мек,1.886057
риндт,1.958607
штоммельной,3.0
титул,1.468521
сильвио,2.69897
испания,1.337242
мозер,2.69897
сертис,1.657577
лава,2.69897
джунти,3.0
рейн,2.522879
surtees,2.0
bellasi,2.09691
грэм,1.60206
мексика,1.69897
эмерсон,2.045757
остеррайхринг,2.30103
ненаписанный,2.69897
дэн,2.221849
посмертно,2.69897
брюс,1.958607
клерк,2.39794
петерсон,2.154902
mclaren,1.337242
нанни,3.0
пустой,1.79588
уоткинс,2.221849
уэстбери,3.0
январь,1.251812
адамик,3.0
брэбем,1.49485
макларен,1.408935
мехико,1.853872
харам,2.30103
тим,2.39794
fia,1.318759
march,1.769551
недостаток,1.356547
март,1.187087
дерек,2.154902
крис,2.30103
гас,2.69897
икс,2.045757
клей,2.30103
халм,1.677781
виселль,3.0
зависимость,1.376751
эймон,2.39794
редман,2.522879
клермон-ферран,2.522879
алфавит,1.39794
авт,1.619789
шаблон,1.366532
оливер,1.638272
cosworth,1.537602
чарлтон,3.0
жан-пьер,2.09691
йохен,1.958607
пескароло,3.0
франсуа,2.39794
каридж,2.69897
андретти,1.958607
лавль,2.522879
шенкен,2.69897
класс,1.267606
увеличение,1.585027
аргентина,1.677781
механик,1.585027
октановый,3.0
пропеллер,3.0
обтекаемый,2.69897
применяться,1.537602
атмосферный,2.045757
бывать,1.823909
езда,2.221849
ходовой,2.69897
вводить,1.49485
северный,1.585027
rennfahrer,1.886057
кокпит,1.721246
ухудшать,2.69897
спрос,2.69897
тип,1.318759
прошлое,1.69897
падение,1.958607
дальнейший,1.619789
reynard,2.39794
обеспечивать,1.552842
развивать,1.744727
скорость,1.468521
ведущий,1.657577
постройка,2.522879
национальный,1.39794
использовать,1.19382
wayback,1.568636
отрабатывать,2.30103
обходиться,2.39794
регламентироваться,3.0
часть,1.275724
намного,1.69897
динамический,2.69897
сознание,2.522879
обрастать,2.69897
бензин,2.30103
передний,1.552842
коробка,1.638272
предполагаться,1.769551
профилировать,2.69897
добиваться,2.09691
разрабатывать,1.853872
deutsche,1.744727
улучшать,1.455932
удалять,1.408935
война,1.568636
запрет,1.657577
реализация,2.09691
расположение,1.886057
ограничение,1.508638
корпус,1.638272
журнал,1.60206
оснащенность,3.0
появляться,1.387216
чистый,1.69897
скоростной,2.30103
поребрик,2.69897
supermodified,3.0
больший,1.376751
buick,2.69897
друг,1.431798
ось,2.045757
электрический,1.769551
die,1.886057
передача,1.552842
крыло,1.958607
новое,1.537602
обтекание,2.39794
узкий,2.045757
пра,2.69897
долгий,1.638272
шестиколесный,3.0
довольно,1.79588
опыт,2.045757
взрывоопасный,2.69897
явление,2.154902
схема,1.619789
дизель,2.39794
болид,1.337242
повсеместный,2.69897
melayu,1.30103
вроде,2.221849
сцепление,1.677781
несколько,1.29243
возможный,1.508638
проверенный,1.585027
сильно,1.568636
водяной,2.39794
заднемоторный,2.69897
совершенно,2.221849
ле,1.568636
толчок,2.69897
энергия,1.69897
лошадиный,2.69897
менее,1.366532
вплоть,1.657577
независимо,2.154902
авто,2.09691
мидель,3.0
иной,1.508638
влияние,1.657577
энергетический,2.30103
безопасность,1.376751
компрессор,2.39794
утверждение,1.49485
окончание,1.468521
рабочий,1.522879
монопост,3.0
производитель,1.522879
карт,2.69897
голова,1.721246
именно,1.537602
выступать,1.337242
диффузор,2.154902
абсолютный,1.69897
орган,2.045757
унион,1.886057
день,1.309804
оказываться,1.468521
seater,3.0
предел,1.69897
стандарт,1.69897
amg,2.221849
переднеприводный,2.522879
разрешать,1.49485
cite,1.318759
возможность,1.408935
monoposto,3.0
например,1.346787
renault,1.387216
сужаться,3.0
широкий,2.045757
подвода,2.69897
анатомия,2.522879
прототип,1.721246
опробовать,2.522879
защита,1.619789
неуправляемый,2.69897
требоваться,1.886057
isbn,1.60206
ложный,2.39794
размер,1.49485
ассоциация,1.537602
производить,1.920819
радиатор,2.39794
требовать,1.283997
эволюция,1.823909
вид,1.30103
край,2.522879
подвеска,1.619789
решать,1.468521
обгон,1.585027
von,1.69897
острый,2.39794
создатель,1.920819
сравнение,1.481486
обеспечение,2.0
устойчивость,2.69897
nynorsk,1.455932
выставлять,1.920819
повестка,3.0
аэродинамика,1.568636
полноприводный,2.69897
рено,1.60206
concept,3.0
tatuus,2.69897
модель,1.508638
изученность,3.0
неровный,3.0
спереди,2.221849
огромный,1.619789
едва,2.39794
переключение,2.39794
достижение,1.49485
юбка,2.69897
сравнительно,2.30103
ежегодно,1.853872
спортпрототип,1.769551
особенность,1.585027
перенашивать,3.0
полулежачий,3.0
привод,2.39794
лазейка,2.522879
пространственный,2.522879
осваивать,2.69897
понтон,2.69897
крыть,2.39794
прижимной,1.69897
смещать,2.30103
тяжелый,1.585027
архивировать,1.259637
ретро,3.0
невысокий,2.39794
частый,2.30103
масса,1.568636
указывать,1.19382
эффективность,1.920819
возобновление,1.769551
диск,2.221849
постепенно,1.920819
включаться,2.221849
америка,1.481486
переключатель,3.0
обуславливать,3.0
организовывать,1.744727
количество,1.275724
распределять,1.537602
понятно,2.522879
прижимать,2.69897
фиксировать,2.39794
создание,1.443697
преследование,2.69897
сначала,2.0
четырехтактный,1.886057
motorsport,1.568636
сигарообразный,3.0
центр,1.79588
одноместный,1.79588
xxi,1.79588
карданный,3.0
предлагать,1.468521
колебаться,2.39794
повышенный,1.677781
существование,1.886057
видеть,2.154902
обычно,1.443697
schaeffler,3.0
ускорение,2.39794
производство,1.537602
стойка,2.30103
металл,2.39794
рождаться,2.30103
аэродинамический,1.657577
car,1.552842
подъем,2.221849
вес,1.585027
преимущественно,2.221849
специальный,1.49485
переворот,1.823909
воспользоваться,1.958607
компания,1.39794
плотный,2.09691
swift,2.522879
образ,1.337242
ускорять,2.30103
граунд,1.744727
алешин,2.69897
региональный,1.823909
широко,1.60206
малый,1.537602
verlags,1.886057
возгорание,3.0
придавать,2.154902
десять,1.638272
выносливость,2.221849
соображение,2.39794
вообще,1.657577
западный,2.221849
oswald,1.886057
крепление,2.69897
тиррелл,2.522879
декабрь,1.251812
называть,1.376751
провожать,2.39794
безнаддувный,1.886057
распространяться,1.958607
турболага,2.221849
должный,1.244125
надежность,1.677781
закупать,2.69897
индикар,1.677781
копия,1.552842
поначалу,2.221849
укореняться,2.69897
начинать,1.29243
personenwagen,1.886057
метанол,2.69897
подобный,1.49485
heel,1.886057
работа,1.366532
мировой,1.522879
навстречу,3.0
турбинный,2.69897
рама,2.221849
использоваться,1.267606
по-прежнему,2.09691
атака,1.638272
подскок,3.0
вызывать,1.356547
пробуксовка,2.39794
однако,1.309804
устойчивый,2.69897
ограничивать,1.568636
нагрузка,1.657577
везде,3.0
делаться,2.522879
значительно,1.346787
относительно,1.886057
возмущение,2.69897
отто,2.69897
середина,1.79588
евросерия,3.0
сводить,2.39794
контролировать,2.221849
ааа,3.0
экологичность,3.0
база,1.721246
поздно,1.431798
неопра,1.309804
ханнелор,3.0
закрытый,1.721246
яркий,2.09691
супер,1.638272
formula,1.337242
распространение,1.920819
силовой,1.657577
bug,3.0
способный,1.568636
thomas,1.79588
строить,1.79588
кроме,1.366532
проверять,1.420216
водитель,1.69897
дороговизна,2.522879
кнопка,2.221849
волновать,3.0
период,1.638272
обслуживание,1.69897
построить,1.744727
призванный,1.744727
уменьшать,1.638272
электромобиль,3.0
диапазон,2.221849
наиболее,1.455932
характеристика,1.508638
сироткин,2.39794
academy,2.221849
дорога,2.0
исходить,1.721246
характер,2.09691
слива,2.69897
перемещаться,2.221849
задний,1.508638
benz,1.823909
лотус,1.677781
мастер,2.39794
сноска,1.468521
ауто,1.886057
автомобильный,1.443697
иначе,1.508638
безнадежный,3.0
потеря,1.657577
движение,1.744727
заметно,2.30103
подлет,3.0
фигурировать,3.0
быстро,1.481486
делать,1.508638
эффект,2.045757
вместе,1.49485
конструктивный,2.522879
цикл,2.39794
итал,2.045757
концентрация,1.886057
некоторые,1.327902
последующий,2.09691
находить,1.60206
невзирая,3.0
натолкнуться,2.69897
лишь,1.337242
газовый,2.09691
монокок,1.721246
передняя,1.79588
серьезный,1.585027
спустя,1.744727
турболаго,3.0
dokumentation,1.853872
штанга,3.0
важный,1.552842
продлиться,2.69897
авторитетный,1.49485
new,1.920819
компенсация,1.744727
фактический,2.522879
кузов,2.045757
невозможно,2.30103
покрытие,2.221849
минимальный,1.619789
bis,1.886057
перегрузка,2.69897
поток,2.0
устройство,1.920819
раскрутка,2.522879
стоимость,1.721246
подготовка,1.677781
вставать,1.744727
сложный,1.522879
миджет,3.0
существовать,1.420216
ньюман,2.69897
monopost,3.0
снижение,1.585027
килограмм,2.39794
молодежный,2.154902
ранее,1.522879
никак,2.39794
суперлига,2.522879
web,1.318759
овальный,2.30103
сзади,2.221849
сила,1.39794
соперник,1.49485
оба,1.443697
спринт,1.619789
являться,1.180456
турбина,1.744727
благоприятствовать,3.0
рассматриваться,1.886057
machine,1.537602
способствовать,1.657577
дебютировать,1.657577
champ,1.769551
дождевой,1.677781
командный,1.638272
задержка,2.221849
пока,1.356547
motorbuch,1.886057
вернер,2.69897
гоночный,1.346787
dallara,1.958607
дизельный,2.39794
особый,1.585027
вырастать,2.09691
эффективный,1.721246
непосредственно,1.49485
секвентальный,2.69897
переносимость,3.0
легкий,1.721246
xx,2.0
оборотистый,3.0
токсичный,3.0
ввиду,1.619789
воздухозаборник,2.30103
михаил,2.09691
волшебный,1.657577
ощутимо,3.0
продержаться,2.30103
рост,1.657577
газ,1.657577
каплевидный,3.0
can,1.958607
сечение,2.69897
капсула,3.0
режим,1.552842
турбоэре,3.0
попытка,1.537602
очень,1.420216
ширина,1.657577
технология,1.638272
уменьшение,1.721246
турбонаддув,1.69897
panoz,3.0
отрыв,1.853872
толкать,2.69897
заключаться,2.09691
днище,1.744727
охлаждающий,3.0
присадок,3.0
овал,1.823909
audi,2.0
выматывать,3.0
столь,1.744727
колесо,1.455932
решение,1.420216
проверяться,1.568636
торможение,1.721246
нефть,1.853872
williams,1.39794
боковой,1.638272
helicron,3.0
лобовой,1.744727
век,1.619789
нередко,1.721246
связь,1.522879
моторостроитель,2.522879
реализовывать,2.30103
бок,2.39794
небольшой,1.537602
аккуратность,3.0
сравниться,2.69897
площадь,1.958607
инженер,1.79588
вал,2.30103
столетие,2.69897
заноситься,3.0
чеш,3.0
часто,1.337242
применять,1.585027
протекать,2.69897
измерение,1.823909
приемистость,3.0
следующий,1.207608
тушение,3.0
контакт,1.958607
обратный,1.79588
open,2.522879
серия,1.408935
максимально,1.638272
хватать,1.522879
изменять,1.657577
пламень,1.886057
повреждение,1.721246
рамка,1.468521
основное,1.49485
спорткар,2.39794
редко,1.721246
легковой,2.221849
достигать,1.568636
поперечный,2.30103
располагать,1.585027
diemen,3.0
конструкция,1.522879
abt,3.0
pull,2.69897
переднемоторный,2.69897
интегрировать,2.69897
приводить,1.366532
српский,1.251812
behrndt,1.886057
слово,1.508638
продолжать,1.420216
отличаться,1.346787
запрещать,1.522879
гореть,2.30103
настолько,1.677781
srpski,1.259637
большинство,1.481486
передаваться,1.823909
перестраивать,2.69897
некомфортный,3.0
порше,2.39794
пресекаться,3.0
бмв,2.522879
агрегат,1.744727
удельный,2.39794
трубчатый,2.69897
конончук,3.0
нестабильный,3.0
отвод,2.221849
удар,1.677781
обращение,1.221849
купер,1.79588
предъявлять,2.30103
окончательно,1.79588
посредством,2.154902
оригинал,1.481486
практически,1.552842
бесцветный,3.0
турбо,1.721246
уровень,1.508638
физический,1.920819
формульный,1.619789
взвесь,3.0
находиться,1.346787
seherr,1.886057
мерседес,1.585027
плоскость,2.154902
ненадежность,3.0
подброс,3.0
eine,1.853872
michael,1.744727
счет,1.522879
монопоста,2.69897
меньший,1.585027
колесный,2.522879
турбокомпрессор,2.522879
шевроле,2.69897
обвод,3.0
существенный,1.619789
газотурбинный,2.522879
сторонний,1.886057
вовсе,1.823909
архивный,1.585027
graf,1.886057
превышать,1.657577
экономичный,1.920819
roll,3.0
маленький,1.677781
неистребимый,3.0
установка,1.657577
фердинанд,3.0
engineering,2.522879
европа,1.309804
indycar,1.79588
величина,1.744727
стационарный,2.39794
вынести,1.823909
средство,1.522879
угловатый,3.0
топливо,1.522879
впереди,1.958607
термин,1.376751
джонс,1.920819
теоретически,2.69897
воздух,1.537602
исчезновение,2.522879
подрулевой,3.0
редкий,2.221849
кольцевой,1.769551
применение,1.568636
двойной,1.886057
tropfenwagen,3.0
вентури,2.69897
некоторый,1.853872
активный,1.619789
